order_id,userId,fuelType,quantity,deliveryLocation_latitude,deliveryLocation_longitude,deliveryLocation_address,requestSource,pricing_pricePerLiter,pricing_fuelCost,pricing_deliveryFee,pricing_emergencyFee,pricing_totalPrice,status,priority,isEmergency,isFarZone,cancelReason,estimatedDeliveryMinutes,distance_km,createdAt
0a6b173c7cbe43a2916f6f05,0ea0c96bdb5847ec823d6cd7,petrol,9.6,27.695811,85.28907,"Teku, Kathmandu Valley",roadside,178,1708.8,80,10,1798.8,delivered,high,True,False,,24,3.65,2026-05-29T15:43:00
adfd887c47bc446eb2d123f2,11f21bbee0cc433eadd8677b,petrol,18.6,27.735611,85.604599,"Sundarijal, Kathmandu Valley",home,178,3310.8,690,0,4000.8,cancelled,normal,False,True,Repeated poor experiences with unknown drivers,116,34.49,2026-02-15T19:38:00
38a2796f97f849fe9f112b0b,c9620180f34141e8bf209b76,diesel,4.5,27.676263,85.230261,"Jamal, Kathmandu Valley",home,163,733.5,80,0,813.5,delivered,normal,False,False,,15,2.98,2026-05-15T13:44:00
208d7eb1fa264d2e927b39b3,49c5e185c76444b7bc64a478,diesel,2.7,27.68798,85.27168,"Khumaltar, Kathmandu Valley",home,163,440.1,80,0,520.1,delivered,normal,False,False,,27,1.83,2026-03-19T17:06:00
a2b7162b8af24b9ba443b941,fbf271d737c74f1e804aeaa9,diesel,7.0,27.672145,85.259841,"Suryabinayak, Kathmandu Valley",office,163,1141.0,80,0,1221.0,delivered,normal,False,False,,10,0.3,2026-03-20T08:05:00
6dbf2b5121544733a943350a,3407b2f8ac8843f4af940dd8,diesel,4.0,27.663719,85.240503,"Durbar Marg, Kathmandu Valley",home,163,652.0,80,0,732.0,delivered,normal,False,False,,21,2.32,2026-04-11T14:05:00
b1b3a266673545edb6742278,a4b3aa95d117488886ac8e04,petrol,11.9,27.688595,85.286045,"Siddhipur, Kathmandu Valley",home,178,2118.2,80,0,2198.2,delivered,normal,False,False,,17,2.94,2026-03-26T09:13:00
d0436388deaa42349075733a,edafd17b5edc49949d36ff1f,petrol,11.3,27.678835,85.268102,"Goldhunga, Kathmandu Valley",office,178,2011.4,80,0,2091.4,delivered,normal,False,False,,17,0.87,2026-03-19T16:17:00
00bb95a1a875425585b38867,b39332b15a794f3e9571f89f,petrol,1.6,27.676859,85.278279,"Anamnagar, Kathmandu Valley",office,178,284.8,80,0,364.8,delivered,normal,False,False,,21,1.76,2026-06-16T12:51:00
e6fdd6ba2cad48c488cbb14c,e058e9567396490799edd0ea,diesel,8.5,27.711125,85.432084,"Sanepa, Kathmandu Valley",roadside,163,1385.5,347,10,1742.5,delivered,high,True,False,,63,17.34,2026-02-17T14:25:00
e108df18682141318ac2d461,739d85088f3b4a3cafe61917,diesel,13.5,27.514004,85.18684,"Tathali, Kathmandu Valley",roadside,163,2200.5,385,10,2595.5,cancelled,high,True,True,Ordered by mistake,68,19.26,2026-04-18T20:47:00
